epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
79,531.61,0.78846,0.58696,0.90067,0.66,0.60403,0.64645,0.43342,1.15799,0.84939,0.93077,0.000379743,0.000379743,0.000379743
80,538.482,0.75436,0.57846,0.90991,0.75561,0.4892,0.5753,0.41817,1.10221,0.93953,0.92212,0.000363239,0.000363239,0.000363239
81,544.353,0.72689,0.52842,0.89526,0.67109,0.56445,0.58375,0.41443,1.12474,0.963,0.91894,0.000346736,0.000346736,0.000346736
82,551.523,0.78067,0.57391,0.9174,0.68327,0.60499,0.59574,0.43558,1.15829,0.96466,0.91646,0.000330233,0.000330233,0.000330233
83,558.149,0.74717,0.55286,0.90658,0.68767,0.57783,0.57681,0.4227,1.16352,0.98516,0.92042,0.000313729,0.000313729,0.000313729
84,564.491,0.71168,0.54156,0.90872,0.69385,0.53574,0.56233,0.4225,1.10307,1.00557,0.92172,0.000297226,0.000297226,0.000297226
85,570.595,0.71977,0.52821,0.89987,0.62253,0.58004,0.53187,0.38942,1.05256,0.93609,0.9229,0.000280723,0.000280723,0.000280723
86,576.423,0.75394,0.55743,0.90525,0.55524,0.42412,0.47644,0.34339,1.0328,0.96903,0.91831,0.00026422,0.00026422,0.00026422
87,583.673,0.72063,0.53647,0.87884,0.43463,0.65904,0.48325,0.34934,1.03426,0.94085,0.91851,0.000247716,0.000247716,0.000247716
88,590.228,0.72654,0.53603,0.90019,0.64739,0.56653,0.55609,0.40684,1.06307,0.899,0.9275,0.000231213,0.000231213,0.000231213
89,596.583,0.73288,0.56027,0.91033,0.61958,0.58924,0.57282,0.42091,1.07437,0.85689,0.92403,0.00021471,0.00021471,0.00021471
90,602.937,0.70475,0.50753,0.90101,0.63998,0.55893,0.54439,0.39897,1.04328,0.85633,0.92265,0.000198206,0.000198206,0.000198206
91,616.391,0.60576,0.47406,0.83204,0.73552,0.4605,0.51643,0.38682,1.05672,0.91696,0.95158,0.000181703,0.000181703,0.000181703
92,624.022,0.64262,0.47304,0.86214,0.71591,0.47724,0.53175,0.38818,1.09614,0.9337,0.95502,0.0001652,0.0001652,0.0001652
93,630.658,0.61801,0.45085,0.85512,0.73661,0.48216,0.54118,0.38963,1.08999,0.90881,0.94176,0.000148696,0.000148696,0.000148696
94,637.488,0.60211,0.4622,0.8478,0.72536,0.47308,0.53571,0.38874,1.0897,0.90415,0.92992,0.000132193,0.000132193,0.000132193
95,644.191,0.59726,0.43556,0.83786,0.63739,0.5395,0.53146,0.38651,1.08633,0.90315,0.93011,0.00011569,0.00011569,0.00011569
96,651.633,0.59079,0.44274,0.85429,0.62633,0.5395,0.5453,0.40022,1.08911,0.9183,0.93642,9.91865e-05,9.91865e-05,9.91865e-05
97,658.258,0.60891,0.42863,0.82906,0.72254,0.49896,0.55003,0.41042,1.07724,0.93035,0.93556,8.26832e-05,8.26832e-05,8.26832e-05
98,664.788,0.6003,0.41532,0.83876,0.64534,0.57796,0.5528,0.40874,1.08351,0.93019,0.93609,6.61799e-05,6.61799e-05,6.61799e-05
99,671.02,0.60433,0.41334,0.85758,0.64526,0.57796,0.55311,0.41251,1.06784,0.90268,0.93485,4.96766e-05,4.96766e-05,4.96766e-05
100,677.972,0.59151,0.4302,0.8537,0.6459,0.57796,0.5424,0.40285,1.06093,0.89817,0.93439,3.31733e-05,3.31733e-05,3.31733e-05
